SOURCE_DATASET_r,SOURCE_DATASET_l,unique_id_l,unique_id_r,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED_l,TITLE_AUTHOR_DATE_COMBINED_NORMALIZED_r,BEGIN_PUBLICATION_DATE_l,BEGIN_PUBLICATION_DATE_r,extent_normalized_l,extent_normalized_r,EDITION_l,EDITION_r,AUTHOR_l,AUTHOR_r,title_similarity,author_similarity,decision,timestamp,notes,reviewer
McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20_3234,McGill-Queens_Results_Oct20_3241,fieldresearchinlabradorungava--1966,fieldresearchinlabradorungavaannualreport196465--1966,1966,1966,"ii, 231 p. :","ii, 231 pages :",,,,,0.7954545454545454,,merge,2025-10-28T03:38:29.015486,,Anonymous
McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20_8683,McGill-Queens_Results_Oct20_8688,temperatureandwindfrequencytablesforeurasiaiiapriljune--1960,temperatureandwindfrequencytablesfornorthamericaandgreenland--1960,1960,1960,4 volumes,volumes,,,,,0.7936507936507937,,ignore,2025-10-28T03:38:36.951746,,Anonymous
McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20_3094,McGill-Queens_Results_Oct20_3095,explorationsinaerospacelaw-coop-1968,explorationsinaerospacelawselectedessays-coop-1968,1968,1968,"xx, 480 p.","xx, 480 pages :",,,"Cooper, John Cobb,","Cooper, John Cobb,",0.8372093023255813,1.0,merge,,,
McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20_8201,McGill-Queens_Results_Oct20_8202,spaceactivitiesandemerginginternationallaw--1984,spaceactivitiesandemerginginternationallawreportofamajorresearch--1984,1984,1984,"xvii, 627 p.","xvii, 627 p",,,,,0.8135593220338984,,merge,2025-10-28T03:39:05.642712,,Anonymous
McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20_7490,McGill-Queens_Results_Oct20_7491,reportfromconferenceoncanadaandthenorthernrim--1977,reportfromconferenceoncanadaandthenorthernrim31march2april1977--1977,1977,1977,"vii, 144 leaves :","vii, 144 feuillets :",,,,,0.8571428571428572,,merge,2025-10-28T03:39:11.386159,,Anonymous
McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20_6600,McGill-Queens_Results_Oct20_6604,philosophyofhabermas-edga-2005,philosophyofkierkegaard-patt-2005,2005,2005,"xii, 292 p.","xii, 205 p.",,,"Edgar, Andrew.","Pattison, George,",0.6984126984126984,0.3225806451612903,ignore,2025-10-28T03:39:16.280573,,Anonymous
McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20_8608,McGill-Queens_Results_Oct20_8609,takingstockchallengeandchangeinsecuritiesregulation--2005,takingstockchallengeandchangeinsecuritiesregulationpaperspresentedatthe12th--2005,2005,2005,"vi, 269 p.","vi, 269 pages",,,,,0.826086956521739,,merge,2025-10-28T03:39:25.992367,,Anonymous
McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20,McGill-Queens_Results_Oct20_7812,McGill-Queens_Results_Oct20_7813,scottbrandtnereveleighwebberrevisitingmontrealabstractionofthe1940s-trep-2022,scottbrandtnereveleighwebberrevoirlabstractionmontrealaisedesannees1940-trep-2022,2022,2022,270 pages :,270 pages,,,"Tre?panier, Esther,","Trépanier, Esther,",0.7974683544303798,0.9473684210526316,merge,2025-10-28T03:39:32.328550,,Anonymous
UQuebec_Results_Oct24,UQuebec_Results_Oct24,UQuebec_Results_Oct24_4114,UQuebec_Results_Oct24_4115,mutuellesetcooperativesdepargneetdecreditenafriquefrancophoneexamencomparat-mals-1997,mutuellesetcooperativesdepargneetdecreditenafriquefrancophonelescoopecclass-mals-1997,1997,1997,26 feuillets,32 feuillets,,,"Malservisi, Mauro F.","Malservisi, M.-F.",0.8941176470588236,0.7567567567567568,merge,2025-10-28T03:39:39.286475,,Anonymous
UQuebec_Results_Oct24,UQuebec_Results_Oct24,UQuebec_Results_Oct24_276,UQuebec_Results_Oct24_277,bibliographielesinegalitesdedeveloppementregionalauquebecetaucanada-brun-1977,bibliographielesinegalitesdedeveloppementregionalauquebecetaucanadainstrume-brun-1977,1977,1977,"xvi, 152 p.","xvi, 152 pages",,,"Bruneau, Pierre.","Bruneau, Pierre,",0.9506172839506174,0.9375,merge,2025-10-28T03:39:51.534982,,Anonymous
